id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1582159399057240064,1582159399057240064,2022-10-17 23:59:30 UTC,2022-10-17,23:59:30,+0000,1554764541023879168,alfanerizky,Alfane_rizky,,Jangan sampai tragedi Kanjuruhan terulang kembali. #kanjuruhan #KagagalanAniesituNyata  https://t.co/rd6HnjonsZ,in,[],[],[],0,0,2,"['kanjuruhan', 'kagagalananiesitunyata']",[],https://twitter.com/AlfaneRizky/status/1582159399057240064,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1582159299983597568/pu/img/ztAkaFTM3KItAChv.jpg,,,,,,,[],,,,
1582153841503391744,1582153841503391744,2022-10-17 23:37:25 UTC,2022-10-17,23:37:25,+0000,1568487793458053126,agamsyah1998,Agamsyah,,Tragedi kajuruhan jangan sampai tetulang kembali. #kanjuruhan #GoodByeNasdemAnies  https://t.co/ktF1DA1oer,in,[],[],[],0,0,1,"['kanjuruhan', 'goodbyenasdemanies']",[],https://twitter.com/Agamsyah1998/status/1582153841503391744,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1582153696036601856/pu/img/V4I9JQ0QYLGQYbDa.jpg,,,,,,,[],,,,
1582149802715815937,1582149802715815937,2022-10-17 23:21:22 UTC,2022-10-17,23:21:22,+0000,1093049705968295936,fuaaad17,gundulxjolodot,,"3 jam lebih rekaman CCTV di Kanjuruhan sengaja dihapus. Pola yang sama dengan Kasus Duren Tiga, yaitu proses penghilangan/perusakan barang bukti berupa CCTV.  @interaksiumat #CCTV #Kanjuruhan #TGIPF  https://t.co/X44FcmIvzG",in,"[{'screen_name': 'interaksiumat', 'name': 'interaksiumat', 'id': '1418410210188615680'}]",[],['https://pbs.twimg.com/media/FfTs2uMVEAEta0h.jpg'],15,0,0,"['cctv', 'kanjuruhan', 'tgipf']",[],https://twitter.com/fuaaad17/status/1582149802715815937,False,,1,https://pbs.twimg.com/media/FfTs2uMVEAEta0h.jpg,,,,,,,[],,,,
1582148840483790848,1582148840483790848,2022-10-17 23:17:33 UTC,2022-10-17,23:17:33,+0000,450194792,nandaputrafbs,Achmad Husin Alifiah,,Polda Jatim Periksa Ketum PSSI Hari Ini  #KetumPSSI #PSSI #TRAGEDIKANJURUHAN #kanjuruhan   https://t.co/I4bEBW8IzJ lewat @Holopis.com,in,"[{'screen_name': 'holopis', 'name': 'rubicon', 'id': '33126761'}]",['https://holopis.com/news/polhukam/2022/10/18/137701/polda-jatim-periksa-ketum-pssi-hari-ini/'],[],0,0,0,"['ketumpssi', 'pssi', 'tragedikanjuruhan', 'kanjuruhan']",[],https://twitter.com/nandaputrafbs/status/1582148840483790848,False,,0,,,,,,,,[],,,,
1582078389653241856,1582078389653241856,2022-10-17 18:37:36 UTC,2022-10-17,18:37:36,+0000,1445077853624627209,royjunaedy,Roy Himura,,"Polisi mengakui penembakan gas air mata, apalagi yg harus di debatkan?   ""Jika  kita kehilangan kepercayaan hanya karena mengakui kesalahan, itu berarti  sejak awal kita memang tidak dipercaya sama sekali ""  #Kanjuruhan #POLISI  https://t.co/9Z6KIpUS7Z",in,[],[],[],0,0,0,"['kanjuruhan', 'polisi']",[],https://twitter.com/RoyJunaedy/status/1582078389653241856,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1582078307574894592/pu/img/D7p27af8MMCzGdm3.jpg,,,,,,,[],,,,
1582065584824455168,1582065584824455168,2022-10-17 17:46:43 UTC,2022-10-17,17:46:43,+0000,1569569243582320640,smq9112001,smq,,"Juaranya memang, harus diusut tuntas @ListyoSigitP @mohmahfudmd #KM50 #DurenTiga #Kanjuruhan #KebakaranKejagung",in,"[{'screen_name': 'listyosigitp', 'name': 'listyo sigit prabowo', 'id': '1431117605775949824'}, {'screen_name': 'mohmahfudmd', 'name': 'mahfud md', 'id': '282006208'}]",[],[],0,0,0,"['km50', 'durentiga', 'kanjuruhan', 'kebakarankejagung']",[],https://twitter.com/smq9112001/status/1582065584824455168,False,https://twitter.com/CNNIndonesia/status/1581959232307728391,0,,,,,,,,[],,,,
1582052611964162049,1582052611964162049,2022-10-17 16:55:10 UTC,2022-10-17,16:55:10,+0000,567966875,lawjusticeco,Law-Justice.co | News & Investigation,,Besok Presiden FIFA Temui Presiden Jokowi di Istana Negara  https://t.co/a8Qu1jawpd #jokowi #fifa #kanjuruhan,in,[],['https://www.law-justice.co/artikel/139651/besok-presiden-fifa-temui-presiden-jokowi-di-istana-negara/'],[],0,0,0,"['jokowi', 'fifa', 'kanjuruhan']",[],https://twitter.com/lawjusticeco/status/1582052611964162049,False,,0,,,,,,,,[],,,,
1582039231450316801,1582039231450316801,2022-10-17 16:02:00 UTC,2022-10-17,16:02:00,+0000,2714869507,newsmerahputih,newsmerahputih,,"Delapan korban tragedi Kanjuruhan, masih menerima perawatan di RSUD Saiful Anwar Kota Malang.  #merahputihcom #RSUD #Kanjuruhan    https://t.co/n40r29cycU",in,[],['https://merahputih.com/post/read/8-korban-tragedi-kanjuruhan-masih-dirawat-di-rs'],[],0,0,0,"['merahputihcom', 'rsud', 'kanjuruhan']",[],https://twitter.com/newsmerahputih/status/1582039231450316801,False,,0,,,,,,,,[],,,,
1582003686322343936,1582003686322343936,2022-10-17 13:40:45 UTC,2022-10-17,13:40:45,+0000,1349713962472861696,indoposco,Indoposco.id,,Komnas HAM Telusuri Dugaan Penghentian Biaya Pengobatan Korban Kanjuruhan   https://t.co/k7tQC0yM8C  #indopoco #DugaanPenghentianBiayaPengobatanKorbanKanjuruhan #kanjuruhan #KomnasHAM #KorbanTragediKanjuruhan #PeristiwaKanjuruhan #TragediKanjuruhan,in,[],['https://indoposco.id/headline/2022/10/17/komnas-ham-telusuri-dugaan-penghentian-biaya-pengobatan-korban-kanjuruhan'],[],0,0,1,"['indopoco', 'dugaanpenghentianbiayapengobatankorbankanjuruhan', 'kanjuruhan', 'komnasham', 'korbantragedikanjuruhan', 'peristiwakanjuruhan', 'tragedikanjuruhan']",[],https://twitter.com/indoposco/status/1582003686322343936,False,,0,,,,,,,,[],,,,
1582002133452214273,1582002133452214273,2022-10-17 13:34:35 UTC,2022-10-17,13:34:35,+0000,1568106713890570240,eksplisito,Eksplisit Official,,Temuan TGIPF : Ada Upaya Kepolisian Ganti Rekaman Kanjuruhan.   https://t.co/zqIUY9R1y6 #PrayForMalang #kanjuruhan #KanjuruhanBerdukaCita #Eksplisitkreatifmedia,in,[],['https://www.instagram.com/p/Cjz9-Fgpvzi/?utm_source=ig_web_copy_link'],[],0,0,0,"['prayformalang', 'kanjuruhan', 'kanjuruhanberdukacita', 'eksplisitkreatifmedia']",[],https://twitter.com/EksplisitO/status/1582002133452214273,False,,0,,,,,,,,[],,,,
